"data.id","data.user_id","data.user_login","data.user_name","data.game_id","data.game_name","data.type","data.title","data.viewer_count","data.started_at","data.language","data.thumbnail_url","data.tag_ids[0]","data.is_mature","pagination.cursor"
"43423139117","569325723","loud_coringa","loud_coringa","32982","Grand Theft Auto V","live","PRIMEIRO BANCO CENTRAL F
","61879","2021-08-25T23:27:24Z","pt","https://static-cdn.jtvnw.net/previews-ttv/live_user_loud_coringa-{width}x{height}.jpg","39ee8140-901a-4762-bfca-8260dea1310f","False","eyJiIjp7IkN1cnNvciI6ImV5SnpJam8yTVRnM09TNHlPRGsxTWpNM056Y3pPRFVzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam95TlRJd0xqTXlNek13TXpNME1UTXdOVE1zSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
"43071154812","663294488","ranboobutnot","ranboobutnot","138585","Hearthstone","live","Ranboo is ranbooing","30842","2021-08-26T02:52:02Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ranboobutnot-{width}x{height}.jpg","6ea6bca4-4712-4ab9-a906-e3336a9d8039","False","eyJiIjp7IkN1cnNvciI6ImV5SnpJam8yTVRnM09TNHlPRGsxTWpNM056Y3pPRFVzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam95TlRJd0xqTXlNek13TXpNME1UTXdOVE1zSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
"39876284411","71190292","trainwreckstv","Trainwreckstv","498566","Slots","live","18+ need 5M's TODAY PLEASE #ad | !twitter | !youtube | !podcast","30101","2021-08-26T00:46:37Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_trainwreckstv-{width}x{height}.jpg","6ea6bca4-4712-4ab9-a906-e3336a9d8039","True","eyJiIjp7IkN1cnNvciI6ImV5SnpJam8yTVRnM09TNHlPRGsxTWpNM056Y3pPRFVzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam95TlRJd0xqTXlNek13TXpNME1UTXdOVE1zSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
"43426344061","254489093","casimito","casimito","518203","Sports","live","SER SUB AGORA É MAIS BARATO! SORTEIO DE 2 CAMISAS POR DIA 🍀 !STREAMBET !PRIME !DISCORD","28987","2021-08-26T02:52:53Z","pt","https://static-cdn.jtvnw.net/previews-ttv/live_user_casimito-{width}x{height}.jpg","39ee8140-901a-4762-bfca-8260dea1310f","True","eyJiIjp7IkN1cnNvciI6ImV5SnpJam8yTVRnM09TNHlPRGsxTWpNM056Y3pPRFVzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam95TlRJd0xqTXlNek13TXpNME1UTXdOVE1zSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
"43421637533","51496027","loltyler1","loltyler1","21779","League of Legends","live","RETURNER COME WINNER ALWAYS ! that how DO IT ! GIANT LEGEND !!! WOOT !!!!!!!","26074","2021-08-25T21:32:12Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_loltyler1-{width}x{height}.jpg","6ea6bca4-4712-4ab9-a906-e3336a9d8039","False","eyJiIjp7IkN1cnNvciI6ImV5SnpJam8yTVRnM09TNHlPRGsxTWpNM056Y3pPRFVzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam95TlRJd0xqTXlNek13TXpNME1UTXdOVE1zSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
"43423394429","26154978","sykkuno","Sykkuno","278888515","Gartic Phone","live","gartic !!","25791","2021-08-25T23:43:50Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_sykkuno-{width}x{height}.jpg","6ea6bca4-4712-4ab9-a906-e3336a9d8039","False","eyJiIjp7IkN1cnNvciI6ImV5SnpJam8yTVRnM09TNHlPRGsxTWpNM056Y3pPRFVzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam95TlRJd0xqTXlNek13TXpNME1UTXdOVE1zSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
"43066303100","95873995","ramee","Ramee","32982","Grand Theft Auto V","live","Ramee | !Merch IS LIVE! !Twitter !GFuel | Chang Gang | NoPixel","18726","2021-08-25T18:45:49Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ramee-{width}x{height}.jpg","6ea6bca4-4712-4ab9-a906-e3336a9d8039","False","eyJiIjp7IkN1cnNvciI6ImV5SnpJam8yTVRnM09TNHlPRGsxTWpNM056Y3pPRFVzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam95TlRJd0xqTXlNek13TXpNME1UTXdOVE1zSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
"39875239259","26490481","summit1g","summit1g","500188","Hunt: Showdown","live","Huntin. Merch dropped summit1g.gg  [ @summit1g ]","17747","2021-08-25T20:41:31Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_summit1g-{width}x{height}.jpg","6ea6bca4-4712-4ab9-a906-e3336a9d8039","False","eyJiIjp7IkN1cnNvciI6ImV5SnpJam8yTVRnM09TNHlPRGsxTWpNM056Y3pPRFVzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam95TlRJd0xqTXlNek13TXpNME1UTXdOVE1zSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
"43426753965","641972806","imkaicenat","ImKaiCenat","489050","Twelve Minutes","live","NAH WE TWEAKIN","17240","2021-08-26T03:24:47Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_imkaicenat-{width}x{height}.jpg","6ea6bca4-4712-4ab9-a906-e3336a9d8039","False","eyJiIjp7IkN1cnNvciI6ImV5SnpJam8yTVRnM09TNHlPRGsxTWpNM056Y3pPRFVzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam95TlRJd0xqTXlNek13TXpNME1UTXdOVE1zSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
"43422643533","146922206","tsm_imperialhal","TSM_ImperialHal","511224","Apex Legends","live","Ranked w/ Nafen and Rogue | TSM FTX","15591","2021-08-25T22:53:27Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_tsm_imperialhal-{width}x{height}.jpg","0ca5d2cc-760f-47b7-921b-84d6a5cbb0e4","False","eyJiIjp7IkN1cnNvciI6ImV5SnpJam8yTVRnM09TNHlPRGsxTWpNM056Y3pPRFVzSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9LCJhIjp7IkN1cnNvciI6ImV5SnpJam95TlRJd0xqTXlNek13TXpNME1UTXdOVE1zSW1RaU9tWmhiSE5sTENKMElqcDBjblZsZlE9PSJ9fQ"
